slug,maker,models,group,setting,depth,matched,test,level_dbfs,imd_pct,imd_db
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,ccif_19_20k,-12.0,7.78258,-22.18
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,ccif_19_20k,-6.0,7.75591,-22.21
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,ccif_19_20k,-3.0,5.71736,-24.86
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,smpte_60_7k,-30.0,1.15639,-38.74
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,smpte_60_7k,-18.0,3.60539,-28.86
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,smpte_60_7k,-12.0,5.45082,-25.27
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,smpte_60_7k,-6.0,6.97144,-23.13
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,smpte_60_7k,-3.0,11.50614,-18.78
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-30.0,0.55227,-45.16
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-18.0,1.54872,-36.2
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-12.0,2.12601,-33.45
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-6.0,2.41369,-32.35
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-3.0,2.38419,-32.45
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-30.0,0.35066,-49.1
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-18.0,1.15291,-38.76
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-12.0,1.83857,-34.71
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-6.0,2.52577,-31.95
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-3.0,2.76063,-31.18
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,ccif_19_20k,-30.0,5.72966,-24.84
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,ccif_19_20k,-18.0,13.46673,-17.41
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,ccif_19_20k,-12.0,13.68346,-17.28
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,ccif_19_20k,-6.0,12.51267,-18.05
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,ccif_19_20k,-3.0,21.72148,-13.26
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,smpte_60_7k,-30.0,3.54235,-29.01
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,smpte_60_7k,-18.0,8.52143,-21.39
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,smpte_60_7k,-12.0,10.35741,-19.69
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,smpte_60_7k,-6.0,81.82847,-1.74
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_1_pct,full,thd_1_pct,smpte_60_7k,-3.0,120.56443,1.62
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,ccif_19_20k,-30.0,6.17147,-24.19
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,ccif_19_20k,-18.0,14.92729,-16.52
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,ccif_19_20k,-12.0,14.28845,-16.9
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,ccif_19_20k,-6.0,16.7377,-15.53
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,ccif_19_20k,-3.0,24.45435,-12.23
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,smpte_60_7k,-30.0,4.14433,-27.65
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,smpte_60_7k,-18.0,9.47388,-20.47
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,smpte_60_7k,-12.0,11.80642,-18.56
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,smpte_60_7k,-6.0,96.7912,-0.28
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,matched_thd_3_pct,full,thd_3_pct,smpte_60_7k,-3.0,131.7612,2.4
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,ccif_19_20k,-30.0,0.00011,-118.83
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,ccif_19_20k,-18.0,0.00032,-110.02
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,ccif_19_20k,-12.0,0.00058,-104.8
nls_nevo,Waves,Neve 5116 console channel,console-neve,drive_0,full,,ccif_19_20k,-6.0,0.00104,-99.69
