slug,maker,models,group,element,gr_target_db,marking,phase,time_ms,gr_db
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,1.0,0.3382138084441779
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,10.0,0.430639772315466
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,100.0,0.43247192537741874
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,1000.0,0.43259330014331265
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,2.0,0.5613868546630103
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,20.0,0.43179835029785263
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,200.0,0.4325431996789666
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,2000.0,0.4325930500473616
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,5.0,0.4271118963415752
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,50.0,0.4323210055702891
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,500.0,0.4325831611711983
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,5000.0,0.4325693183563164
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,0.1,0.5534410032601853
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,0.2,0.29588141528239387
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,0.5,-0.0075221208133751105
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,1.0,0.043100340551748495
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,10.0,-0.7101902420182276
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,100.0,-1.0699984092095587
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,1000.0,-1.0709541581009088
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,2.0,-0.12164632615953419
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,20.0,-0.9844212215805621
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,200.0,-1.070108404335624
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,2000.0,-1.3633036997150647
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,5.0,-0.38804563574102335
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,50.0,-1.0714043887127467
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,500.0,-1.0705056516990918
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,attack,5000.0,-1.0902790828238196
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,0.1,-3.1422560278055083
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,0.2,-1.3294020480234954
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,0.5,-1.1974196393404073
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,1.0,-1.173544792108138
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,10.0,-1.083084817601649
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,100.0,-1.081319955227614
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,1000.0,-1.0816039465036598
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,2.0,-0.9524654034047622
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,20.0,-1.0819534439301846
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,200.0,-1.081279867130724
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,2000.0,-1.0830766424839364
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,5.0,-1.0865573491841696
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,50.0,-1.0814528461998654
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,500.0,-1.0813468455815904
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,as_set,release,5000.0,-1.1242781890124167
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,0.1,1.0057245243063573
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,as_set,attack,0.2,0.10562498238214602
