slug,maker,models,group,setting,condition,hz,level_dbfs,rms_dbfs,a_weighted_dbfs
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,630.0,-106.01,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,6300.0,-96.48,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,80.0,-115.4,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,800.0,-105.76,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,8000.0,-95.37,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,100.0,-116.36,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,1000.0,-105.38,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,10000.0,-94.77,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,125.0,-114.52,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,1250.0,-103.76,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,12500.0,-93.68,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,160.0,-111.33,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,1600.0,-102.56,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,16000.0,-92.57,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,20.0,-120.5,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,200.0,-111.62,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,2000.0,-101.68,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,20000.0,-91.63,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,25.0,-121.35,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,250.0,-111.34,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,2500.0,-100.62,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,31.5,-118.59,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,315.0,-109.73,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,3150.0,-99.65,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,40.0,-119.59,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,400.0,-108.62,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,4000.0,-98.6,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,50.0,-117.81,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,500.0,-107.47,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,5000.0,-97.67,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,63.0,-116.41,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,630.0,-106.1,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,6300.0,-96.71,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,80.0,-116.72,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,800.0,-105.67,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,under_tone_-12,8000.0,-95.52,-86.87,-87.22
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,silence,100.0,-118.04,-89.72,-90.12
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,silence,1000.0,-107.44,-89.72,-90.12
