slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,thd_db,gain_db,noise_floor_db,clipped,rejected_runs,h2,h3,h4,h5,h6,h7,h8
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,3.0,19.497471026700584,-14.20043432698143,-1.887,-126.59604067870882,True,0,-22.022213971380545,-15.157311838695488,-36.16423833555318,-45.862785952058864,-36.509197560228735,-31.89719990980806,-39.885454762255115
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-12.0,0.9999082325644557,-40.000797118392825,0.879,-137.69916471657285,False,0,-40.059285686722596,-71.24540343826439,-59.3470313138143,-81.19274785613696,-70.96075854359557,-88.5019542568213,-79.58620996222238
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-15.0,0.8662720098689581,-41.24691435742779,0.876,-140.69810256730037,False,0,-41.28883473354966,-71.48909168248653,-62.178037088693266,-82.38083169343415,-74.74508861204117,-90.25589742186428,-83.95485043900518
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-18.0,0.7274085909662205,-42.764431481430606,0.873,-143.69485707438665,False,0,-42.79391426160103,-72.20098974281574,-65.53520131257584,-84.03694108370338,-79.08435654505648,-92.41976394904013,-88.81160899812018
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-21.0,0.5923792951067157,-44.54800258769062,0.87,-146.68995881783084,False,0,-44.568903441609784,-73.35250496798619,-69.39234607740956,-86.0896642000268,-83.90745413612305,-94.90077399820098,-94.03934786119423
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-24.0,0.4689449362450742,-46.577562987440444,0.867,-149.68099962961605,False,0,-46.59299057026617,-74.89685628467038,-73.69964400241255,-88.45407282811729,-89.1250175562706,-97.6093566851006,-99.50354970442787
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-27.0,0.36213075098548553,-48.82269189436609,0.865,-152.67301934401993,False,0,-48.83487464117639,-76.77651567082039,-78.39262019004872,-91.04463204700883,-94.64836893871777,-100.47278303905469,-105.05676930072873
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-3.0,1.3009897434839908,-37.71452254480001,0.887,-128.69253006104523,False,0,-37.83864184217957,-73.27049953226027,-53.84484686697202,-80.74189560119288,-63.1324086805228,-86.32260005815263,-70.0450743726867
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-30.0,0.2739026021711346,-51.24807683551979,0.863,-155.66104363683817,False,0,-51.25846514374479,-78.93091903334688,-83.4013490746072,-93.78731111553998,-100.4056870991999,-103.43764385496642,-110.51186893685255
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-36.0,0.1495968141900107,-56.50155310194866,0.861,-161.6474631040573,False,0,-56.51057895733628,-83.84332190705186,-94.09895441848136,-99.50898964986335,-112.46087195843586,-109.5658139473507,-119.80943743872088
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-42.0,0.07849345429275052,-62.103331166513264,0.859,-167.6380173670115,False,0,-62.112114908927616,-89.27182301114368,-105.29596918558403,-105.31370569740487,-123.99289522313693,-115.84484805671067,-124.4176060819543
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-48.0,0.040284465110067606,-67.8972479693242,0.858,-173.63131712287614,False,0,-67.90605034581169,-94.98660806448528,-116.30632064093432,-111.0090040664088,-127.25840576488415,-121.85601253136456,-125.60606001082118
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-54.0,0.020434935202034755,-73.792534701444,0.858,-179.6279755345192,False,0,-73.80142655467401,-100.85937191237792,-124.81623346961449,-116.35829580395517,-126.8325621473366,-125.9378772431105,-125.8806899981554
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-6.0,1.221137587980719,-38.26470800964629,0.885,-131.69508538385256,False,0,-38.365905024213916,-72.16294003226457,-55.223541356020284,-80.37409187656465,-65.1728670882955,-86.50460206755983,-72.61257745220509
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-60.0,0.010303663402071983,-79.74016674388258,0.858,-185.6266642164711,False,0,-79.74934640138467,-106.82406863784706,-127.99593091870878,-120.92057782181355,-126.64593717863048,-126.97594969857039,-125.9480727994997
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,-9.0,1.1200629970800275,-39.01515100168893,0.882,-134.69819621711835,False,0,-39.093841878585295,-71.47576546642526,-57.03938502599813,-80.5189819599172,-67.77010694935483,-87.23540682940026,-75.79139629663312
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,0.0,6.139472911600596,-24.237378249519832,0.365,-127.81230306931673,True,0,-29.254581428308626,-28.749521567946935,-30.89019819935775,-34.487580389994896,-42.06232280463985,-54.15655377735118,-49.258490121449306
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,1000.0,3.0,17.538269944652487,-15.120264993114583,-1.879,-128.12724555243025,True,0,-25.13160195069897,-15.736891236682345,-41.316585405397944,-46.488408683844455,-35.41024885235099,-32.709353640801865,-40.776769334901076
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,full,thd_3_pct,100.0,-12.0,8.87848373146968,-21.03322393506437,6.012,-131.9047831056279,False,0,-21.187071304597932,-59.11793376788158,-36.333384947422594,-65.7071085743618,-44.88356436696101,-70.50446962054657,-51.156138123930894
