slug,maker,models,group,band,gain_label,hz,level_dbfs,thd_pct,h2,h3,h4,h5,h6,h7,h8
api550a,Waves,API 550A,eq-api,high_bell,+12,1600.0,-6.0,0.015798137837361753,-76.03170581699354,-106.70506404106601,-122.4973834203447,-134.42756258585175,-141.17509126245,-146.2977475638098,-148.17754865257885
api550a,Waves,API 550A,eq-api,high_bell,+12,200.0,-12.0,0.006999198155314359,-83.15067386881637,-102.37459320035164,-144.93891044695323,-144.05067535062256,-142.17349120808646,-145.42862262735645,-141.35540503857354
api550a,Waves,API 550A,eq-api,high_bell,+12,200.0,-18.0,0.00348612408485911,-89.16746200929418,-114.11588815408663,-142.377630355256,-134.80648763609375,-142.9011892325321,-146.05026853295047,-131.1011433017883
api550a,Waves,API 550A,eq-api,high_bell,+12,200.0,-6.0,0.014013736093269455,-77.25065874438255,-90.94461704307592,-126.19705212319883,-131.3573648003631,-155.62083983885267,-149.9566893965945,-140.56075335121764
api550a,Waves,API 550A,eq-api,high_bell,+12,2000.0,-12.0,0.008614019393002341,-81.29665030089274,-119.42411696906477,-133.96092164636536,-133.30838278093856,-137.60658514789887,-133.7410664543119,-136.49119767280507
api550a,Waves,API 550A,eq-api,high_bell,+12,2000.0,-18.0,0.004332298143067255,-87.26773356614659,-140.45186897271233,-131.8557809813337,-122.87414560595326,-132.8332046849297,-133.50351585711283,-126.5642121515373
api550a,Waves,API 550A,eq-api,high_bell,+12,2000.0,-6.0,0.016904692385069475,-75.44254134243785,-107.72338712570941,-121.43226913951764,-132.4590426532425,-145.2742356323916,-158.6717433833237,-144.43301335086488
api550a,Waves,API 550A,eq-api,high_bell,+12,250.0,-12.0,0.006994293317737076,-83.1405698298995,-104.01202844078598,-143.2128872359334,-137.7369266725427,-148.2839429346679,-136.04777113211284,-137.68300377306608
api550a,Waves,API 550A,eq-api,high_bell,+12,250.0,-18.0,0.003509562223437798,-89.10430160821363,-116.02381147454133,-134.81003159827443,-138.71434024707665,-140.93037709891058,-134.57442329974532,-131.91782981459167
api550a,Waves,API 550A,eq-api,high_bell,+12,250.0,-6.0,0.01393345019468773,-77.24049425335448,-92.70838423918093,-125.79398117182167,-131.46664626272548,-143.17406866770733,-146.21989057276326,-153.01765047378228
api550a,Waves,API 550A,eq-api,high_bell,+12,2500.0,-12.0,0.009495959399758173,-80.45003032928324,-118.70817518660479,-140.84443618604445,-127.4696904913506,-133.79813577012618,-131.12949141509577,-136.2816942917908
api550a,Waves,API 550A,eq-api,high_bell,+12,2500.0,-18.0,0.004766935705634082,-86.4364480121383,-128.38631170155242,-124.74575818109427,-130.747705818648,-132.7879050615388,-137.6839713936216,-139.44054231141286
api550a,Waves,API 550A,eq-api,high_bell,+12,2500.0,-6.0,0.018535387534413306,-74.6420362807579,-108.42480100417818,-117.04643778778434,-140.47349643937386,-143.68797064566192,-144.09842376517244,-142.43566042255208
api550a,Waves,API 550A,eq-api,high_bell,+12,31.5,-12.0,0.007500341110805205,-82.9597081147468,-92.46493743965385,-147.31100665188094,-140.17577980251875,-153.05989810328353,-139.2440467647457,-148.26134848450383
api550a,Waves,API 550A,eq-api,high_bell,+12,31.5,-18.0,0.0035828995519399795,-89.02506780423676,-104.94930922598027,-141.73487473432013,-154.00053069594097,-141.57352112127595,-138.98918840916312,-137.83483641033
api550a,Waves,API 550A,eq-api,high_bell,+12,31.5,-6.0,0.0165828706534414,-77.03305940852292,-81.13786258560526,-125.60599220428088,-116.06173191336659,-153.98682812396797,-151.26229152184496,-153.91963644800646
api550a,Waves,API 550A,eq-api,high_bell,+12,315.0,-12.0,0.006994076954782438,-83.12782911105471,-106.00234594573277,-135.6416760194191,-147.54341386933763,-139.12199900101916,-141.43118360576645,-132.7225243316485
api550a,Waves,API 550A,eq-api,high_bell,+12,315.0,-18.0,0.0035074847688508254,-89.10681315549226,-117.48402287781984,-132.9536581358725,-143.68237794444593,-143.93018520218413,-135.42397108493583,-134.9233375277306
api550a,Waves,API 550A,eq-api,high_bell,+12,315.0,-6.0,0.013887953463024275,-77.22657859717627,-94.5738510749832,-125.39375069425475,-132.83281281573605,-160.67464776532324,-145.16113084111277,-157.71559782836994
api550a,Waves,API 550A,eq-api,high_bell,+12,3150.0,-12.0,0.010820477200860329,-79.31556941832775,-119.25657061929265,-130.17261326629404,-134.4664019746856,-137.2918437178996,-143.4901683331313,
api550a,Waves,API 550A,eq-api,high_bell,+12,3150.0,-18.0,0.005421789170849064,-85.31760624086803,-125.96682817734008,-135.81335813691476,-148.0346222317063,-137.88203574805323,-138.75979929860173,
api550a,Waves,API 550A,eq-api,high_bell,+12,3150.0,-6.0,0.02099890070217314,-73.55763165530662,-109.17064127295541,-114.28660300271096,-135.58469634364246,-144.04577636354108,-145.65696489191117,
api550a,Waves,API 550A,eq-api,high_bell,+12,40.0,-12.0,0.007410506522806182,-83.00369854598186,-93.15221628817918,-140.8666360441831,-139.80502911836803,-142.8732505903012,-147.8739279758613,-144.0140476765675
api550a,Waves,API 550A,eq-api,high_bell,+12,40.0,-18.0,0.0036478339743897946,-88.8553958368186,-105.37265875866005,-138.1087420792525,-138.64633934804917,-133.1658026629836,-137.9060054621908,-143.38684298688926
api550a,Waves,API 550A,eq-api,high_bell,+12,40.0,-6.0,0.01614030124787603,-77.11670257612283,-81.78805842951944,-125.27635510121539,-117.19712390323019,-154.14222405031805,-154.52576887179234,-148.92979407769823
api550a,Waves,API 550A,eq-api,high_bell,+12,400.0,-12.0,0.0070166658463296444,-83.09168271131199,-107.92431537892647,-137.30028502681083,-138.8843387400829,-142.45964056409193,-137.88205117246522,-147.3697226654703
api550a,Waves,API 550A,eq-api,high_bell,+12,400.0,-18.0,0.0035355639451144713,-89.03454311895693,-120.11580841185375,-133.9409968597087,-142.24035598517366,-148.35951355168262,-140.89973171220902,-133.99972839445854
api550a,Waves,API 550A,eq-api,high_bell,+12,400.0,-6.0,0.013901485456902406,-77.18864700914082,-96.5690808268437,-126.09373665708998,-132.46278542431406,-153.2024009621554,-144.74553362935652,-151.45182066908748
api550a,Waves,API 550A,eq-api,high_bell,+12,4000.0,-12.0,0.012848333974084778,-77.82340587238215,-119.4180989714219,-128.36730645415912,-139.31331603454962,-185.5200276428604,,
api550a,Waves,API 550A,eq-api,high_bell,+12,4000.0,-18.0,0.006492128806500661,-83.75255222546413,-127.53415381072762,-130.38426719252382,-137.45300054258794,-158.89042385443838,,
api550a,Waves,API 550A,eq-api,high_bell,+12,4000.0,-6.0,0.024649409732505373,-72.1653354478545,-110.2181981288016,-109.59229435774901,-139.54169836666648,-176.9824800594459,,
api550a,Waves,API 550A,eq-api,high_bell,+12,50.0,-12.0,0.007312171322158385,-83.0662222973346,-93.86431302906979,-151.52703496546104,-141.00570708622303,-146.31320621361857,-153.5354739487458,-146.6706770613001
