element,gr_target_db,group,hold,maker,models,slug,family,gr_at_end_of_hold_db,gr_measured_db,reached,release_0.1_ms,release_0.2_ms,release_0.5_ms,release_1000_ms,release_100_ms,release_10_ms,release_1_ms,release_2000_ms,release_200_ms,release_20_ms,release_2_ms,release_5000_ms,release_500_ms,release_50_ms,release_5_ms
vca,10.0,vca-dbx160,hold_0.3s,UAD,dbx 160 VU,dbx160,comp,9.740957672829872,9.74,True,9.605767436936839,9.420317835373512,9.416736447435353,0.0006008298431383341,0.24216862725215976,8.792662500368488,9.340436385705873,0.000213562589703363,0.0048351800831401975,7.866954807688705,9.587032960884226,-0.00012331565929292465,0.0014444441373236971,5.0330867421030465,9.242897689794905
vca,10.0,vca-dbx160,hold_3s,UAD,dbx 160 VU,dbx160,comp,9.741801600896117,9.74,True,9.605318345207131,9.418752728058513,9.41490589689817,0.000855304285027135,0.2436995011197341,8.79266568632598,9.337711050128155,0.00036675350780420585,0.005608108777079783,7.867262551750474,9.588203431854627,0.00014425900603531883,0.0018879048914053898,5.034061880150909,9.242724466806504
vca,15.0,vca-dbx160,hold_0.03s,UAD,dbx 160 VU,dbx160,comp,10.672030200459561,13.46,False,11.640800225578712,11.558257018348918,11.562607734780464,0.0006776657078155501,2.1995719096819597,10.785925935933607,11.54589619827984,0.00030764102261416487,0.003784918211970585,9.844712245610092,11.511750701634165,-0.00011883226722042561,0.0013790958379312143,6.987976349044922,11.24767278851921
vca,15.0,vca-dbx160,hold_0.3s,UAD,dbx 160 VU,dbx160,comp,13.458863676476941,13.46,False,13.330187855339117,13.15266708981685,13.15116096020322,0.000664692062483617,3.999372770857285,12.520534226311453,13.080084406361426,0.00023579759719932758,0.004758795381059014,11.599497887316721,13.30328086854002,-0.00018259855257396485,0.001537021085712513,8.777358538474083,12.968341908960166
vca,15.0,vca-dbx160,hold_3s,UAD,dbx 160 VU,dbx160,comp,13.45971239990452,13.46,False,13.324190667583377,13.138922353967756,13.135130618304345,0.0008185843292672149,3.999790979895688,12.516582755989694,13.058503181669854,0.0003388399392611485,0.0052204234923439174,11.59639315627667,13.3070882392951,6.367428375818329e-05,0.0018009918011723733,8.776105021509343,12.963902118360297
vca,3.0,vca-dbx160,hold_0.03s,UAD,dbx 160 VU,dbx160,comp,0.006140267758787753,2.25,True,0.3276629141259567,0.14351676169391542,0.12017755533449244,5.596856626479546e-05,0.003413809546499204,-0.019771661031277143,0.03945094929658409,1.8133303385528543e-05,0.0010919526946094396,-0.006155996574380387,0.3142625922286255,1.3691977115516674e-05,0.00018034867380932462,0.0038522772417896034,-0.02275593663531257
vca,3.0,vca-dbx160,hold_0.3s,UAD,dbx 160 VU,dbx160,comp,2.251460459086105,2.25,True,2.1147153132685665,1.9271482589017312,1.9234673349532334,0.0003555593123226661,0.011450345421889122,1.2970254449170862,1.8462221376232058,0.00011448612300088423,0.004344243706023675,0.3668584083282775,2.096702491374263,1.3533600149960578e-05,0.0010267286382298693,0.0177642222948542,1.7497981307755548
vca,3.0,vca-dbx160,hold_3s,UAD,dbx 160 VU,dbx160,comp,2.2523300098283885,2.25,True,2.118828086611475,1.9355698269551307,1.9332745215330376,0.0008444520683289977,0.0133974396749853,1.3002843164995104,1.8589510526420598,0.00038714057508223987,0.005834985510244271,0.3699742113672002,2.0957114406355624,0.0003176023667904246,0.0018836467026786194,0.020056106382974587,1.7531377921342128
vca,6.0,vca-dbx160,hold_0.03s,UAD,dbx 160 VU,dbx160,comp,3.172242267683684,6.0,True,4.091467108027512,3.9171166052898805,3.8960135347659226,0.00028458262440307636,0.0059491358656457854,3.263575176012991,3.821097036941402,8.84652594427826e-05,0.0024001395244788934,2.3271451580411515,4.067260265405966,-0.00011346215805835974,0.0006910011563540167,0.008267629664609318,3.720187815928985
vca,6.0,vca-dbx160,hold_0.3s,UAD,dbx 160 VU,dbx160,comp,6.002825846503225,6.0,True,5.864823678616028,5.675909563598237,5.671516116276268,0.0005309264705679606,0.011834071492033416,5.049130311699802,5.5930277334800556,0.00019130641353589523,0.004842958341985983,4.120315539099005,5.849304473373783,-5.731012793994822e-05,0.0013348504024408014,1.2788299838753447,5.500991096422147
