slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,valid_orders,h2,h3,h4,h5,h6,h7,h8
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,500.0,-12.0,0.14122434822441168,47,-67.90443746781666,-57.52957194965273,-99.29684652417913,-72.28467707210088,-118.2060974857255,-81.55368535929254,-125.01517342118005
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,500.0,-3.0,18.405741054131823,47,-21.356137809887876,-15.972358498535755,-35.24517816271833,-47.80753659450417,-32.985267911403916,-35.40151232922075,-37.61059476343856
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,5000.0,-12.0,0.06323681449811613,4,-75.0322021866098,-64.3358342236387,-107.43520662978979,,,,
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,5000.0,-3.0,18.230001155974687,4,-20.58692277337791,-16.153698171480393,-35.98691613742851,,,,
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,63.0,-12.0,1.056879280573983,381,-48.92518732028087,-40.38116973318033,-71.28281810822345,-52.03095710420902,-84.76315143152658,-60.2176239438764,-94.42706511593133
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,63.0,-3.0,17.237307964586037,381,-22.64418723749504,-16.395751434059417,-33.5823745595359,-48.02893029102874,-33.480404663385556,-35.9761040241779,-37.29814714616979
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,630.0,-12.0,0.12222995089647212,38,-69.21288107222222,-58.77462035704502,-101.19091480062127,-73.65867243947403,-118.01314758353544,-82.99367709182442,-130.59724749683593
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,630.0,-3.0,18.39730252215886,38,-21.26621006395125,-16.004174774587096,-35.29371116275505,-47.48721383187994,-32.88556127576938,-35.50808982149955,-37.668186170376245
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,6300.0,-12.0,0.05587629475985237,3,-76.14631883569355,-65.40714057865371,,,,,
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,6300.0,-3.0,18.1986264334748,3,-20.572482965843342,-16.134296129465078,,,,,
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,80.0,-12.0,0.7885376162067961,300,-51.85369684210941,-42.82988395584459,-75.60274281372077,-55.130151373538055,-89.64501242544033,-63.615967320117875,-99.7377281761238
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,80.0,-3.0,17.697031268051365,300,-22.590702241426758,-16.10282171396755,-34.35795719297355,-49.17946500596894,-33.70370495306635,-35.41775321639538,-37.257782049045545
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,800.0,-12.0,0.1085151271745802,30,-70.28379682835849,-59.80140654696253,-102.73997824246065,-74.79040391036192,-119.50331365120861,-84.14675787497674,-132.1349201531672
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,800.0,-3.0,18.38517636355447,30,-21.16205968409833,-16.043306263640986,-35.37687488586064,-47.163437840227346,-32.77132028113707,-35.62904712987773,-37.734722699928156
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,8000.0,-12.0,0.013217095279191286,2,-77.57727958509973,,,,,,
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,8000.0,-3.0,9.371390784814357,2,-20.563919035289583,,,,,,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,100.0,-12.0,0.052539414693782684,239,-65.93774317149749,-76.89695503240371,-99.68799218183239,-92.13407691062747,-116.63100891611643,-101.53388736048493,-125.81215741526148
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,100.0,-3.0,0.11716926913969132,239,-58.91924456284846,-70.82445459677642,-85.0840104066371,-84.10094818340299,-100.11836564308958,-92.98167773751238,-110.528549938369
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,1000.0,-12.0,0.04131585334162632,24,-68.0277036255234,-78.94744434111189,-102.41007821816055,-94.18637460301277,-125.07864618537658,-104.39683385697266,-123.25332766154007
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,1000.0,-3.0,0.09424461092158302,24,-60.81695151910759,-72.57843318349141,-87.78743601337034,-86.10162898616927,-103.80453669545064,-95.40541793999591,-112.51725809096422
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,10000.0,-12.0,0.03367684625318518,2,-69.4533717157573,,,,,,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,10000.0,-3.0,0.07714157508664736,2,-62.25422995797203,,,,,,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,125.0,-12.0,0.05216732118292601,191,-65.9998564476895,-76.95345381666687,-99.72332006032997,-92.21881162893092,-117.2583689591312,-101.56234116673227,-127.53684038191003
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,125.0,-3.0,0.11642142793310671,191,-58.97514123306425,-70.87465269838806,-85.15157729282404,-84.16883911487439,-100.24963443776385,-93.0296141031309,-110.61629681194198
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,1250.0,-12.0,0.04122533219023584,19,-68.0452659079264,-78.98164299782232,-103.3342065735504,-94.2189484330185,-117.16982348775575,-104.2971736052369,-127.02680673975112
