slug,maker,models,family,group,setting,depth,matched,level_dbfs,hz,magnitude_db,phase_deg,group_delay_ms,ref_1k_db,sweep_check_worst_db
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,6324.6,-0.016,-170.45,10.6695,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,69.6,-0.1,101.5,10.8772,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,696.1,-0.015,-152.62,10.6765,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,6961.4,-0.021,-96.42,10.6692,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,76.6,-0.111,74.24,10.874,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,766.2,-0.015,-61.31,10.6794,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,7662.4,-0.025,91.46,10.6677,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,84.3,-0.134,44.17,10.8475,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,843.4,-0.007,1.83,10.6722,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,8433.9,-0.033,7.87,10.6688,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,92.8,-0.16,11.26,10.8623,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,928.3,-0.003,35.43,10.6682,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,9283.2,-0.041,-13.93,10.6692,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,102.2,-0.181,-25.97,10.8472,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,1021.8,-0.001,36.68,10.6681,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,10217.9,-0.051,-4.88,10.6694,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,112.5,-0.189,-66.0,10.8463,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,1124.7,-0.003,1.38,10.6709,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,11246.8,-0.063,4.04,10.669,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,123.8,-0.176,-110.24,10.805,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,1237.9,-0.005,-73.33,10.6745,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,12379.3,-0.079,-26.56,10.6693,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,136.3,-0.144,-158.56,10.7523,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,1362.6,0.0,166.97,10.6686,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,13625.8,-0.1,-134.71,10.671,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,1499.8,-0.0,0.91,10.6701,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,14997.9,-0.128,-4.09,10.6676,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,150.0,-0.109,147.68,10.71,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,165.1,-0.091,89.86,10.6921,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,1650.8,0.002,139.94,10.6671,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,16508.1,-0.169,-45.5,10.6706,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,181.7,-0.1,26.39,10.7089,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,1817.0,-0.001,-138.67,10.671,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,18170.4,-0.234,48.62,10.6725,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,20.0,-0.669,-45.4,12.9964,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,200.0,-0.117,-44.28,10.7304,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,2000.0,-0.001,-120.56,10.6714,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,20000.0,-0.375,-141.98,10.6766,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,22.0,-0.384,-56.1,17.5095,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,220.1,-0.106,-122.08,10.7214,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,2201.4,0.001,-174.18,10.669,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,24.2,-0.466,-67.16,12.5367,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,242.3,-0.07,151.85,10.6842,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,2423.1,0.001,53.46,10.6675,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,26.7,-0.349,-80.55,13.2765,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,266.7,-0.057,58.96,10.6771,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,2667.0,-0.0,-163.33,10.6692,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,29.4,-0.261,-92.15,14.0778,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,293.6,-0.073,-45.34,10.7048,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,2935.6,-0.002,-114.34,10.6704,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,32.3,-0.28,-105.44,11.9933,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,323.1,-0.058,-158.22,10.6912,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,3231.2,-0.001,-169.42,10.6689,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,35.6,-0.257,-120.18,11.2496,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,355.7,-0.034,76.52,10.6692,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,3556.6,-0.002,20.17,10.6687,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,39.1,-0.217,-135.96,11.129,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,391.5,-0.049,-61.49,10.6944,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,3914.7,-0.003,84.57,10.6676,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,43.1,-0.182,-152.81,11.0353,55.226,-0.076
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-40.0,430.9,-0.026,146.35,10.6715,55.226,-0.076
