slug,maker,models,family,group,state,condition,rms_dbfs,peak_dbfs,a_weighted_dbfs,noise_added_db,controls,loudest_tone_hz,loudest_tone_dbfs
nlsbuss_nevo,Waves,Neve 5116 console buss,colour,console-neve,on,under_tone_-12,-92.83,-65.88,-114.96,0.06,noise=On ,,
nlsbuss_spike,Waves,EMI TG12345 console buss,colour,console-emi,off,silence,-200.0,-200.0,-200.0,92.12,noise=On ,,
nlsbuss_spike,Waves,EMI TG12345 console buss,colour,console-emi,off,under_tone_-12,-54.55,-52.54,-136.72,0.0,noise=On ,22000.1,-135.67
nlsbuss_spike,Waves,EMI TG12345 console buss,colour,console-emi,on,silence,-107.88,-96.0,-110.96,92.12,noise=On ,,
nlsbuss_spike,Waves,EMI TG12345 console buss,colour,console-emi,on,under_tone_-12,-54.55,-52.54,-110.98,0.0,noise=On ,26.6,-127.6
puigtec_eqp1a,Waves,Pultec EQP-1A,eq,eq-pultec,off,silence,-200.0,-200.0,-200.0,107.4,mains=60Hz ,,
puigtec_eqp1a,Waves,Pultec EQP-1A,eq,eq-pultec,off,under_tone_-12,-66.63,-52.44,-132.97,0.01,mains=60Hz ,20999.6,-144.81
puigtec_eqp1a,Waves,Pultec EQP-1A,eq,eq-pultec,on,silence,-92.6,-84.5,-103.39,107.4,mains=60Hz ,59.5,-107.11
puigtec_eqp1a,Waves,Pultec EQP-1A,eq,eq-pultec,on,under_tone_-12,-66.62,-52.3,-103.58,0.01,mains=60Hz ,59.3,-112.02
puigtec_meq5,Waves,Pultec MEQ-5 midrange,eq,eq-pultec,off,silence,-200.0,-200.0,-200.0,107.38,mains=60Hz ,,
puigtec_meq5,Waves,Pultec MEQ-5 midrange,eq,eq-pultec,off,under_tone_-12,-68.42,-52.88,-134.22,0.02,mains=60Hz ,20999.6,-146.13
puigtec_meq5,Waves,Pultec MEQ-5 midrange,eq,eq-pultec,on,silence,-92.62,-84.35,-103.41,107.38,mains=60Hz ,59.5,-107.79
puigtec_meq5,Waves,Pultec MEQ-5 midrange,eq,eq-pultec,on,under_tone_-12,-68.4,-52.8,-103.54,0.02,mains=60Hz ,59.3,-111.93
ssl_ev2,Waves,SSL 4000 E console channel,colour,console-ssl,off,silence,-200.0,-200.0,-200.0,0.0,analog=On ,,
ssl_ev2,Waves,SSL 4000 E console channel,colour,console-ssl,off,under_tone_-12,-120.64,-75.82,-173.04,64.81,analog=On ,20999.6,-195.03
