slug,maker,models,group,element,gr_target_db,level_dbfs,out_db,gain_db,gr_db
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-9.0,-18.727,-9.727,17.994
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,0.0,-17.177,-17.177,25.444
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-12.0,-22.322,-10.322,3.025
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-15.0,-23.362,-8.362,1.065
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-18.0,-25.299,-7.299,0.002
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-21.0,-28.298,-7.298,0.001
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-24.0,-31.297,-7.297,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-27.0,-34.297,-7.297,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-3.0,-20.377,-17.377,10.08
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-30.0,-37.297,-7.297,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-36.0,-43.297,-7.297,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-42.0,-49.297,-7.297,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-48.0,-55.297,-7.297,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-54.0,-61.297,-7.297,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-6.0,-20.942,-14.942,7.645
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,-9.0,-21.572,-12.572,5.275
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,0.0,-19.864,-19.864,12.567
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-12.0,-21.269,-9.269,6.363
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-15.0,-21.954,-6.954,4.048
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-18.0,-22.836,-4.836,1.93
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-21.0,-24.147,-3.147,0.241
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-24.0,-26.908,-2.908,0.002
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-27.0,-29.907,-2.907,0.001
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-3.0,-19.613,-16.613,13.707
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-30.0,-32.907,-2.907,0.001
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-36.0,-38.906,-2.906,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-42.0,-44.906,-2.906,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,-48.0,-50.906,-2.906,0.0
